,EEG Filename,Video Filename,Dataset,Test Number,Condition,DST (out of 21) # of Correct Answers,BT (out of 4) # of Correct Answers,1st Mental Fatigue,1st Stress,ST # of Correct Answers,PST # of Correct Answers,VMT (out of 22) # of Correct Answers,2nd Mental Fatigue,2nd Stress,Overall ,Accuracy,Start Time,Timepoints for Incorrect Answers,Duration,ST out of (Total trials),PST out of (Total trials),DST (7) [Longest sequence correct],VMT (7) [Longest sequence correct],Overall (vary),Accuracy,Person in Charge,Completed
21,,,,,Two,13,3,2,4,22,2,22,3,5,62,0.861111111,"DST: 9:18
BT: 10:51
ST: 45:32
PST: 46:09
VMT: 46:31","DST: 9:53, 9:56, 10:14, 10:17, 10:19, 10:33, 10:38, 10:40
BT: 10:55
ST:
PST:
VMT: 46:43","DST: 87
BT: 21
ST: 25
PST: 15
VMT: 35",22,2,4,7,38,0.904761905,Jesus,Completed
21,,,,,Blue,7,1,5,6,10,2,22,7,5,42,0.68852459,"DST: 29:11
BT: 30:24
ST: 35:05
PST: 35:42
VMT: 36:09","DST: 29:18, 29:19, 29:30, 29:32, 29:33, 29:34, 29:47, 29:50, 29:52, 29:55, 29:56, 30:07, 30:09, 30:10, 30:12 
BT: 30:36, 30:42, 30:51
ST: 35:10 
PST:
VMT: 36:21, 36:24, 36:25, 36:27, 36:28, 36:29 ","DST: 65
BT: 27
ST: 26
PST: 15
VMT: 57",11,2,0,7,20,0.64516129,Jesus,Completed
21,,,,,Red,12,2,5,5,13,3,22,8,6,52,0.8125,"DST: 16:45
BT: 18:06
ST: 49:26
PST: 50:02
VMT: 50:24","DST: 17:09, 17:11, 17:25, 17:30, 17:32, 17:33, 17:54, 17:55, 17:57 
BT: 18:19, 18:42
ST:
PST:
VMT: 50:51, 50:53, 50:54, 50:55, 50:59, 51:01, 51:02, 51:03","DST: 76
BT: 36
ST: 25
PST: 15
VMT: 40",13,3,4,7,29,0.852941177,Jesus,Completed
21,,,,,Teach,14,4,5,5,15,2,22,9,5,57,0.850746269,"DST: 19:30
BT: 21:02
ST: 41:42
PST: 42:20
VMT: 42:43","DST: 20:08, 20:11, 20:18, 20:33, 20:35, 20:36, 20:37 
BT:
ST: 42:06 
PST: 42:28
VMT: 43:05, 43:06 ","DST: 70
BT: 26
ST: 25
PST: 15
VMT: 38",16,3,5,7,33,0.891891892,Jesus,Completed
21,,,,,Narrow,13,3,5,6,17,3,22,1,4,58,0.852941177,"DST:  21:51
BT: 23:15
ST: 39:48
PST: 40:25
VMT: 40:49","DST: 22:35, 22:37, 22:39, 22:40, 23:01, 23:04, 23:06, 23:07 
BT: 23:38
ST:
PST:
VMT:","DST: 78
BT: 8
ST: 25
PST: 15
VMT: 35",17,3,5,7,35,0.921052632,Jesus,Completed
21,,,,,Green,8,3,5,4,7,1,22,7,6,41,0.683333333,"DST: 24:21
BT: 25:48
ST: 37:50
PST: 38:28
VMT: 38:53","DST: 24:47, 24:49, 24:52, 25:07, 25:08, 25:10, 25:13, 25:15, 25:16, 25:29, 25:33, 25:35, 25:37 
BT: 26:12
ST: 37:54, 38:05, 38:09, 38:13 
PST:
VMT:","DST: 80
BT: 24
ST: 26
PST: 15
VMT: 34",11,1,4,7,22,0.733333333,Jesus,Completed
21,,,,,Wide,11,4,4,4,16,2,22,5,4,55,0.833333333,"DST: 14:37
BT: 15:59
ST: 43:38
PST: 44:20
VMT: 44:43","DST: 14:59, 15:01, 15:06, 15:19, 15:22, 15:23, 15:24, 15:26, 15:46, 15:50
BT: 
ST:
PST:
VMT:","DST: 77
BT: 22
ST: 25
PST: 15
VMT: 32",16,2,4,7,33,0.916666667,Jesus,Completed
21,,,,,Bar,14,2,4,4,16,0,14,8,4,46,0.707692308,"DST: 12:11
BT: 13:32
ST: 32:33
PST: 33:15
VMT: 33:37","DST: 12:34, 12:39, 13:01, 13:15, 13:19, 13:22, 13:24
BT: 13:39, 13:45
ST:
PST: 33:28 
VMT: 34:17, 34:23, 34:24, 34:27, 34:29, 34:34 ","DST: 79
BT: 31
ST: 25
PST: 15
VMT: 58",16,1,4,6,28,0.8,Jesus,Completed
22,,,,,One,3,0,4,1,0,0,1,2,1,4,0.05,"DST: 20:15
BT: 21:16
ST: 24:37 
PST: 25:14 
VMT: 25:36","DST: 20:54, 21:08, 21:09
BT:
ST:
PST:
VMT: 25:40","DST: 55
BT: 20
ST: 26 
PST: 16
VMT: 24",28,4,14,20,34,0.68,Claire,Validation Needed
22,,,,,Two,1,0,3,1,0,0,1,9,1,2,0.025,"DST: 15:14
BT: 16:15
ST: 27:52
PST: 28:32
VMT: 28:54","DST: 15:50
BT:
ST:
PST:
VMT: 29:05, 29:12","DST: 55
BT: 20
ST: 30
PST: 16
VMT: 28",26,6,14,8,22,0.44,Claire,Completed
22,,,,,Blue,2,0,3,1,0,1,1,8,3,4,0.048192771,"DST: 16:52
BT: 17:52
ST: 36:06
PST: 36:43
VMT: 37:05","DST: 17:27, 17:43
BT: 16:15
ST:
PST: 36:49
VMT: 37:31","DST: 52
BT: 29
ST: 27
PST: 16
VMT: 28",31,4,14,21,36,0.679245283,Claire,Completed
22,,,,,Red,3,0,2,3,0,1,1,5,1,5,0.065789474,"DST: 10:15
BT: 11:11
ST: 31:11
PST: 31:48
VMT: 32:10","DST: 10:47, 11:02, 11:04
BT:
ST:
PST: 31:53
VMT: 32:27","DST: 51
BT: 22
ST: 27
PST: 16
VMT: 17",24,4,14,14,29,0.630434783,Claire,Completed
22,,,,,Teach,1,1,2,2,0,1,0,5,2,3,0.0375,"DST: 8:37
BT: 9:32
ST: 32:51
PST: 33:28
VMT: 33:49","DST: 9:10
BT: 9:53
ST:
PST: 33:39
VMT:","DST: 49
BT: 28
ST: 27
PST: 15
VMT: 24",28,4,14,22,38,0.76,Claire,Completed
22,,,,,Narrow,3,0,2,1,1,0,1,5,2,5,0.06097561,"DST: 11:54
BT: 12:55
ST: 26:12
PST: 26:45
VMT: 27:10","DST: 12:32, 12:47, 12:48
BT:
ST: 26:23
PST:
VMT: 27:22","DST: 55
BT: 23
ST: 27 
PST: 19
VMT: 29",29,5,14,15,30,0.576923077,Claire,Completed
22,,,,,Green,3,0,5,2,0,0,2,7,1,5,0.064102564,"DST: 21:51
BT: 22:51
ST: 37:46
PST: 38:23
VMT: 38:45","DST: 22:25, 22:28, 22:37
BT:
ST:
PST:
VMT: 39:01, 39:03","DST: 54
BT: 24
ST: 27
PST: 16
VMT: 28",27,3,11,12,23,0.479166667,Claire,Completed
22,,,,,Wide,3,0,3,1,1,1,0,3,1,5,0.0625,"DST: 13:38
BT: 14:36
ST: 29:33
PST: 30:09
VMT: 30:33","DST: 14:13, 14:15, 14:29
BT:
ST: 29:42
PST: 30:14
VMT:","DST: 53
BT: 22
ST: 27
PST: 17
VMT: 26",28,4,13,22,37,0.74,Claire,Completed
22,,,,,Bar,6,0,4,2,1,0,4,2,3,11,0.135802469,"DST: 18:36
BT: 19:37
ST: 34:25
PST: 35:02
VMT: 35:24","DST: 18:45, 18:46, 19:11, 19:12, 19:13, 19:29
BT:
ST: 34:38
PST:
VMT: 35:33, 35:41, 35:47, 35:48","DST: 56
BT: 18
ST: 27
PST: 16
VMT: 26",28,5,2,6,9,0.176470588,Claire,Completed
23,,subject23-Desktop 2018.08.16- 13.35.59.01.mp4,,,One,15,4,2,2,20,2,20,10,3,61,0.85915493,"DST: 9:37
BT: 10:55
ST: 29:56
PST: 30:34
VMT: 30:56","DST: 10:03, 10:17,10:23, 10:23 
BT: 
ST: 30:17
PST:
VMT: 0:31:00, 31:25","DST: 71
BT: 20 
ST: 27 
PST: 15 
VMT: 29",21,2,4,7,37,0.902439024,Emme,Completed
23,,,,,Two,12,4,3,3,22,3,20,2,3,61,0.835616438,"DST: 11:42
BT:12:55
ST: 36:48
PST: 37:26
VMT: 37:49","DST: 0:12:00, 0:12:02, 0:12:20, 0:12:22, 0:12:22, 0:12:23, 0:12:24, 0:12:38, 0:12:39, 0:12:42
BT:
ST:
PST:
VMT: 38:08, 38:12","DST: 65
BT: 21 
ST: 26 
PST: 16 
VMT: 25 ",22,3,4,7,40,0.930232558,Emme,Completed
23,,,,,Blue,18,4,3,3,22,2,20,5,4,66,0.904109589,"DST: 13:43
BT: 14:54
ST: 31:38
PST: 32:15
VMT: 32:40","DST: 0:14:41, 0:14:42, 0:14:43, 0:14:45
BT:
ST: 32:03
PST: 32:19, 32:25
VMT: 33:07, 33:07","DST: 64
BT: 22 
ST: 26 
PST: 16 
VMT: 28 ",23,2,6,7,41,0.953488372,Emme,Completed
23,,,,,Red,9,4,3,3,18,1,22,3,4,54,0.794117647,"DST: 15:45
BT: 17:01
ST: 33:27
PST: 34:04
VMT: 34:26","DST: 0:16:07, 0:16:12, 0:16:25, 0:16:27, 0:16:29, 0:16:30, 0:16:30, 0:16:45, 0:16:49, 0:16:50, 0:16:51, 0:16:52, 0:16:52
BT:
ST:
PST: 34:14
VMT: ","DST: 68
BT: 22
ST: 27
PST: 16 
VMT: 24 ",18,2,4,7,34,0.894736842,Emme,Completed
23,,,,,Teach,13,4,2,2,21,4,20,2,4,62,0.849315069,"DST: 17:47
BT: 19:04
ST: 35:07
PST: 35:46
VMT: 36:09","DST: 0:18:12, 0:18:14, 0:18:31, 0:18:33, 0:18:35, 0:18:36, 0:18:52, 0:18:54, 0:18:56
BT:
ST: 35:32
PST:
VMT: 36:30, 36:31","DST: 70
BT: 19 
ST: 26 
PST: 16 
VMT: 25 ",21,4,4,7,40,0.930232558,Emme,Completed
23,,,,,Narrow,14,3,2,2,22,3,21,3,3,63,0.863013699,"DST: 19:49
BT: 21:07
ST: 38:24 
PST: 39:01
VMT: 39:29","DST: 0:20:17, 0:20:30, 0:20:32, 0:20:36, 0:20:50, 0:20:54, 0:20:57, 0:20:58
BT: 21:21
ST:
PST:
VMT: 39:53","DST: 70
BT: 19 
ST: 26 
PST: 15
VMT: 28 ",22,3,4,7,39,0.906976744,Emme,Completed
23,,,,,Green,14,4,3,3,6,3,22,3,3,49,0.753846154,"DST: 25:30
BT: 26:37
ST: 40:10
PST: 40:47
VMT: 41:15","DST: 25:53, 26:03, 26:07, 26:08, 26:09, 26:10, 26:11, 26:28
BT:
ST: 40:12, 40:14, 40:16, 40:21, 40:26, 40:27, 40:34, 40:36
PST:
VMT:","DST: 60 
BT:19  
ST: 26 
PST: 15 
VMT: 23 ",14,3,4,7,24,0.685714286,Emme,Completed
23,,,,,Wide,20,4,2,2,19,3,22,3,3,68,0.957746479,"DST: 23:38
BT: 24:53
ST: 41:52
PST: 42:31
VMT: 43:00","DST: 24:19, 24:43
BT: 
ST:
PST: 42:35
VMT:","DST: 68
BT: 19 
ST: 26 
PST: 15 
VMT: 23 ",19,4,5,7,38,0.926829268,Emme,Completed
23,,,,,Bar,16,3,2,2,15,3,22,2,2,59,0.880597015,"DST: 21:46
BT: 22:54
ST: 28:19
PST: 28:56
VMT: 29:18","DST: 22:07,22:10, 22:28, 22:40, 22:41, 22:43 
BT: 22:59
ST: 28:36
PST:
VMT:","DST: 60 
BT: 22 
ST: 26 
PST: 16 
VMT: 26 ",16,3,4,7,32,0.864864865,Emme,Completed
24,,,,,One,,,3,3,25,4,22,7,2,51,0.662337662,"DST: 21:17
BT: 22:24
ST: 34:20
PST: 35:04
VMT: 35:25","DST: 21:56, 22:14
BT:
ST:
PST: 
VMT:","DST: 58
BT: 22
ST: 26
PST: 15
VMT: 25",25,4,14,7,50,1.063829787,Matthew,Validation Needed
24,,,,,Two,18,5,2,5,22,4,22,2,3,71,0.946666667,"DST: 9:11 
BT: 10:20 
DST: 11:05 
BT: 12:14
ST: 43:08
PST: 43:50
VMT: 44:12","DST: 10:00, 10:08, 10:09, 10:10 
DST: 11:57, 11:59, 12:00
BT:
ST:
PST: 44:04
VMT:","DST: 61
BT: 24
BT: 25
ST: 26
PST: 15
VMT: 25",22,5,14,7,52,1.155555556,Matthew,Validation Needed
24,,,,,Blue,16,5,3,4,18,2,22,1,3,63,0.926470588,"DST: 19:04
BT: 20:20
ST: 29:09
PST: 29:46
VMT: 30:09","DST: 19:47: 20:00, 20:01, 20:08, 20:11, 20:12
BT: 
ST:
PST:
VMT:","DST: 70
BT: 23
ST: 27
PST: 16 
VMT: 26",18,2,14,7,46,1.210526316,Matthew,Validation Needed
24,,,,,Red,17,5,3,5,13,3,22,6,5,60,0.882352941,"DST: 25:37
BT: 26:56
ST: 30:49
PST: 31:26
VMT: 31:49","DST: 26:20, 26:24, 26:25, 26:28, 26:44 
BT: 
ST: 30:51, 30:52, 30:57, 31:05
PST: 
VMT: ","DST: 70
BT: 21
ST: 26
PST: 18
VMT: 27",17,3,11,7,39,1.026315789,Matthew,Validation Needed
24,,,,,Teach,20,5,2,4,25,3,21,8,3,74,0.961038961,"DST: 13:07
BT: 14:14
ST: 39:43
PST: 40:20
VMT: 40:41","DST: 13:41, 14:04
BT: 
ST: 40:08
PST:
VMT: 40:55","DST: 58
BT: 24
ST: 26
PST: 15
VMT: 24",26,3,14,12,59,1.255319149,Matthew,Validation Needed
24,,,,,Narrow,18,5,2,3,23,4,22,3,3,72,0.96,"DST: 15:07
BT: 16:14
ST: 36:09
PST: 36:50
VMT: 37:12","DST: 15:42, 15:46, 15:47, 16:05
BT: 
ST:
PST:
VMT:","DST: 60
BT: 25
ST: 26
PST: 15
VMT: 22",23,4,10,7,49,1.088888889,Matthew,Validation Needed
24,,,,,Green,15,5,3,3,11,4,22,3,3,57,0.863636364,"DST: 17:05
BT: 18:22
ST: 41:20
PST: 41:56
VMT: 42:18","DST: 17:43, 17:45, 17:48, 17:53, 17:54, 18:13, 18:14
BT: 
ST: 41:23, 41:32, 41:42
PST:
VMT:","DST: 70
BT: 24
ST: 26
PST: 15
VMT: 26",14,4,9,7,36,1,Matthew,Validation Needed
24,,,,,Wide,20,5,3,2,22,4,22,6,3,73,0.973333333,"DST: 23:20
BT: 24:39
ST: 37:55
PST: 38:32
VMT: 38:54","DST: 24:02, 24:26
BT:
ST: 
PST:
VMT:","DST: 69
BT: 28
ST: 26
PST: 15
VMT: 23",23,4,14,7,52,1.155555556,Matthew,Validation Needed
24,,,,,Bar,19,5,2,4,17,3,22,1,3,66,0.970588235,"DST: 11:06
BT: 12:14
ST: 32:32
PST: 33:09
VMT: 33:37","DST: 11:57, 11:59, 12:00 
BT: 
ST: 
PST:
VMT:","DST: 61
BT: 26
ST: 27
PST: 15
VMT: 24",17,3,17,7,49,1.289473684,Matthew,Validation Needed
25,,subject25 - Desktop 2018.08.21 - 14.23.56.02,,,One,13,4,7,4,N/A,N/A,N/A,9,N/A,#VALUE!,#VALUE!,"DST: 10:46
BT:11:59
ST:
PST:
VMT:","DST: 10:56, 10:56, 11:12, 11:13, 11:25, 11:27, 11:42, 11:32, 11:50
BT:
ST:
PST:
VMT:","DST: 66
BT: 22
ST: 
PST: 
VMT: ",N/A,N/A,5,N/A,#VALUE!,#VALUE!,Emme,Incomplete Data  Set
25,,,,,Two,18,4,7,4,N/A,N/A,N/A,1,N/A,#VALUE!,#VALUE!,"DST: 14:29
BT: 15:39
ST:
PST:
VMT:","DST: 15:05, 15:08, 15:13, 15:28
BT:
ST:
PST:
VMT:","DST: 62 
BT: 19 
ST: 
PST: 
VMT: ",N/A,N/A,5,N/A,#VALUE!,#VALUE!,Emme,Incomplete Data  Set
25,,,,,Blue,16,4,8,5,N/A,N/A,N/A,1,N/A,#VALUE!,#VALUE!,"DST: 20:26
BT: 21:38
ST:
PST:
VMT:","DST: 
BT:
ST:
PST:
VMT:","DST: 
BT:
ST:
PST:
VMT:",N/A,N/A,5,N/A,#VALUE!,#VALUE!,Emme,Incomplete Data  Set
25,,,,,Red,14,4,8,5,N/A,N/A,N/A,4,N/A,#VALUE!,#VALUE!,"DST: 
BT:
ST:
PST:
VMT:","DST: 
BT:
ST:
PST:
VMT:","DST: 
BT:
ST:
PST:
VMT:",N/A,N/A,4,N/A,#VALUE!,#VALUE!,Emme,Incomplete Data  Set
25,,,,,Teach,19,4,7,4,N/A,N/A,N/A,8,N/A,#VALUE!,#VALUE!,"DST: 
BT:
ST:
PST:
VMT:","DST: 
BT:
ST:
PST:
VMT:","DST: 
BT:
ST:
PST:
VMT:",N/A,N/A,5,N/A,#VALUE!,#VALUE!,Emme,Incomplete Data  Set
25,,,,,Narrow,20,4,6,4,N/A,N/A,N/A,2,N/A,#VALUE!,#VALUE!,"DST: 8:55
BT: 10:03
ST:
PST:
VMT:","DST: 9:34, 9:54, 9:55
BT:
ST: 
PST:
VMT:","DST: 61 
BT: 21 
ST: 
PST: 
VMT: ",N/A,N/A,5,N/A,#VALUE!,#VALUE!,Emme,Incomplete Data  Set
25,,,,,Green,14,4,7,5,N/A,N/A,N/A,1,N/A,#VALUE!,#VALUE!,"DST: 12:40
BT:13:46
ST: 
PST:
VMT:","DST: 12:48, 12:50, 13:04, 13:20, 13:34, 13:36, 13:37
BT:
ST:
PST:
VMT:","DST: 58 
BT: 19 
ST: 
PST: 
VMT: ",N/A,N/A,5,N/A,#VALUE!,#VALUE!,Emme,Incomplete Data  Set
25,,,,,Wide,15,4,8,5,N/A,N/A,N/A,2,N/A,#VALUE!,#VALUE!,"DST: 18:23
BT: 19:37
ST:
PST:
VMT:","DST: 18:32, 18:33, 18:50, 19:06, 19:08, 19:25, 19:26
BT:
ST:
PST:
VMT:","DST: 67
BT: 20
ST: 
PST: 
VMT: ",N/A,N/A,4,N/A,#VALUE!,#VALUE!,Emme,Incomplete Data  Set
25,,,,,Bar,12,4,8,5,N/A,N/A,N/A,8,N/A,#VALUE!,#VALUE!,"DST: 16:29
BT: 17:38
ST:
PST:
VMT:","DST: 16:39, 16:41, 17:10, 17:11, 17:14, 17:26, 17:27, 17:29, 17:29, 17:30 
BT:
ST:
PST:
VMT: ","DST: 62 
BT: 21 
ST: 
PST: 
VMT: ",N/A,N/A,5,N/A,#VALUE!,#VALUE!,Emme,Incomplete Data  Set
26,,subject26 - Desktop2019.08.24 - 10.09.27.01,,,One,1,0,4,4,1,1,0,10,6,3,0.04109589,"DST: 15:58 
BT: 17:04
ST: 36:51
PST: 37:24
VMT: 37:52","DST: 16:37
BT:
ST: 37:13
PST: 37:34
VMT:","DST: 63
BT: 23
ST: 28
PST: 21
VMT: 28",21,4,14,22,38,0.88372093,Claire,Validation Needed
26,,,,,Two,2,0,5,5,1,2,0,7,5,5,0.065789474,"DST: 20:08
BT: 21:04
ST: 47:29
PST: 48:05
VMT: 48:27","DST: 20:27, 20:42
BT:
ST: 47:48
PST: 48:13, 48:20
VMT:","DST: 53
BT: 26
ST: 16
PST: 17
VMT: 29",24,4,8,22,33,0.717391304,Claire,Completed
26,,,,,Blue,2,0,5,5,0,1,9,4,8,12,0.162162162,"DST: 23:51
BT: 24:49
ST: 45:30
PST: 46:09
VMT: 46:31","DST: 24:26, 24:42
BT:
ST:
PST: 46:18
VMT: 46:39, 46:41, 46:51, 46:55, 46:56, 46:59, 47:00, 47:01, 47:13","DST: 52
BT: 25
ST: 28
PST: 16
VMT: 45",22,4,14,7,22,0.5,Claire,Completed
26,,,,,Red,3,0,6,6,0,0,0,10,6,3,0.04109589,"DST: 21:50
BT: 23:06
ST: 34:53
PST: 35:27
Visual: 35:53","DST: 22:33, 22:49, 22:53
BT:
ST:
PST:
VMT:","DST: 68
BT: 26
ST: 29
PST: 20
VMT: 30",21,4,22,7,29,0.674418605,Claire,Completed
26,,,,,Teach,2,0,4,4,0,0,0,3,6,2,0.025974026,"DST: 14:09
BT: 15:10
ST: 40:18
PST: 40:56
VMT: 41:20","DST: 14:46, 15:01
BT:
ST:
PST:
VMT:","DST: 57
BT: 32
ST: 17
PST: 18
VMT: 28",26,3,22,7,29,0.617021277,Claire,Completed
26,,,,,Narrow,4,0,5,4,1,0,2,7,7,7,0.093333333,"DST: 17:52
BT: 18:53 
ST: 42:04
PST: 42:40
VMT: 43:02","DST: 18:25, 18:27, 18:28, 18:44
BT:
ST: 42:22
PST:
VMT: 43:22, 43:30","DST: 53 
BT: 22
ST: 35
PST: 16
VMT: 32",24,3,12,13,26,0.577777778,Claire,Completed
26,,,,,Green,6,0,1,3,4,1,1,3,6,12,0.166666667,"DST: 12:13
BT: 13:21
ST: 32:57
PST: 33:30
VMT: 33:57","DST: 12:33, 12:34, 12:45, 12:47
BT: 
ST: 33:01, 33:03, 33:08, 33:10 
PST: 33:39, 33:44
VMT: 34:32","DST: 64
BT: 27
ST: 30
PST: 21
VMT: 37",20,4,5,21,31,0.738095238,Claire,Completed
26,,,,,Wide,3,1,6,6,0,1,2,2,7,7,0.092105263,"DST: 25:57
BT: 26:56
ST: 43:50
PST: 44:27
VMT:44:49","DST: 26:32, 26:48
BT: 27:16
ST:
PST: 44:32
VMT: 45:08, 45:16","DST: 53
BT: 21
ST: 27
PST: 17
VMT: 29",24,4,14,13,29,0.630434783,Claire,Completed
26,,,,,Bar,2,0,7,6,1,1,0,4,6,4,0.051282051,"DST: 27:36
BT: 28:37
ST: 38:32
PST: 39:06
VMT: 39:33","DST: 28:12, 28:30
BT:
ST: 38:42
PST: 39:23
VMT:
","DST: 54
BT: 25
ST: 27
PST: 20
VMT: 27",26,4,14,22,38,0.791666667,Claire,Completed
27,,,,,One,14,4,1,1,18,2,21,1,1,59,0.867647059,"DST: 18:34
BT: 19:43
ST: 33:34
PST: 34:11
VMT: 34:35","DST: 19:13, 19:14, 19:15, 19:30, 19:30, 19:34, 19:35
BT:
ST:
PST:
VMT: 34:40","DST: 62
BT: 22
ST: 26
PST: 15
VMT: 29",18,2,4,7,35,0.921052632,Vidushi,Completed
27,,,,,Two,15,4,1,1,17,3,20,2,1,59,0.867647059,"DST: 12:57
BT: 14:03
ST: 30:02
PST: 30:40
VMT: 31:04","DST: 13:28, 13:32, 13:33, 13:35, 13:39, 13:55
BT:
ST:
PST:
VMT: 31:24, 31:32","DST: 59
BT: 24
ST: 26
PST: 15
VMT: 29",17,3,5,4,33,0.868421053,Vidushi,Completed
27,,,,,Blue,17,3,1,1,15,3,20,8,1,58,0.852941177,"DST: 22:00
BT: 23:04
ST: 31:47
PST: 32:23
VMT: 32:48","DST: 22:37, 22:53, 22:54, 22:55 
BT: 23:29
ST: 32:08, 32:09
PST:
VMT: 33:06, 33:08","DST: 57
BT: 25
ST: 26
PST: 15
VMT: 32",17,3,5,4,30,0.789473684,Vidushi,Completed
27,,,,,Red,17,3,1,3,10,0,15,1,1,45,0.75,"DST: 16:41
BT: 17:50
ST: 39:21
PST: 40:00
VMT: 40:23","DST: 17:02, 17:03, 17:22, 17:40 
BT: 18:13
ST: 39:32
PST: 40:14
VMT: 40:38, 40:40, 40:50, 40:51, 40:54, 40:55, 40:55","DST: 63
BT: 24
ST: 26
PST: 15
VMT: 34",11,1,4,4,21,0.7,Vidushi,Completed
27,,,,,Teach,16,3,1,4,18,3,21,4,2,61,0.884057971,"DST: 14:47
BT: 15:56
ST: 26:32
PST: 27:09
VMT: 27:32","DST: 15:20, 15:25, 15:30, 15:46, 15:47 
BT: 16:09
ST:
PST:
VMT: 27:40","DST: 62
BT: 27
ST: 26
PST: 15
VMT: 32",18,3,5,7,36,0.923076923,Vidushi,Completed
27,,,,,Narrow,16,4,1,1,13,2,20,1,1,55,0.846153846,"DST: 23:44
BT: 24:50
ST: 41:12
PST: 41:49
VMT: 42:11","DST: 24:23, 24:25, 24:25, 24:40, 24:41
BT: 
ST: 41:17, 41:35
PST:
VMT: 42:16, 42:42","DST: 60
BT: 21
ST: 26
PST: 15
VMT: 32",15,2,5,7,31,0.885714286,Vidushi,Completed
27,,,,,Green,15,4,1,1,9,0,12,6,1,40,0.64516129,"DST: 9:32
BT: 10:38
ST: 37:09
PST: 37:47
VMT: 38:10","DST: 10:07, 10:08, 10:10, 10:27, 10:28, 10:29
BT:
ST: 37:12, 37:20, 37:29, 37:36
PST: 37:54
VMT: 38:22, 38:38, 38:42, 38:43, 38:44, 38:47, 38:48, 38:50, 38:51, 39:02","DST: 59
BT: 20
ST: 26
PST: 15
VMT: 55",13,1,5,4,22,0.6875,Vidushi,Completed
27,,,,,Wide,18,2,1,1,14,1,22,4,1,57,0.890625,"DST: 20:20
BT: 21:23
ST: 28:20
PST: 28:58
VMT: 29:20","DST: 20:59, 21:12, 21:13
BT: 21:35, 21:45
ST: 28:37
PST:
VMT:","DST: 56
BT: 22
ST: 26
PST: 15
VMT: 28",15,1,5,7,29,0.852941177,Vidushi,Completed
27,,,,,Bar,17,1,1,1,14,2,21,6,1,55,0.859375,"DST: 11:15
BT: 12:19
ST: 35:23
PST: 36:04
VMT: 36:26","DST: 11:52, 11:53, 12:07, 12:11
BT: 12:39
ST:
PST:
VMT: 36:30","DST: 58
BT: 21
ST: 26
PST: 15
VMT: 26",14,2,5,7,29,0.852941177,Vidushi ,Completed
28,,subject28 - Desktop 2018.08.24 - 16.27.41.02,,,One,11,4,??,??,25,1,22,1,??,63,0.828947368,"DST: 22:52
BT: 24:04
ST: 40:04
PST: 40:42
VMT: 41:06","DST: 23:09, 23:27, 23:33, 23:35, 23:46, 23:48, 23:51, 23:53, 23:55
BT: all correct
ST: all correct
PST: 40:50, 40:55
VMT: all correct","DST: 65
BT: 21
ST: 26
PST: 16
VMT: 26",25,3,0,7,37,0.804347826,Elita,Completed
28,,,,,Two,20,4,4,1,21,3,21,4,1,69,0.94520548,"DST: 26:46
BT: 27:55
ST: 43:31
PST: 44:07
VMT: 44:29","DST: 27:41
BT: all correct
ST: all correct
PST: 44:13
VMT: 44:37","DST: 63
BT: 21
ST: 26
PST: 15
VMT: 19",21,4,7,7,42,0.976744186,Elita,Completed
28,,,,,Blue,14,4,3,1,20,3,22,3,1,63,0.875,"DST: 24:46
BT: 26:00
ST: 34:51
PST: 35:27
VMT: 35:58","DST: 25:29, 25:39, 25:43, 25:44, 25:45, 25:50, 25:51
BT: all correct
ST: 35:08
PST: all correct
VMT: all correct","DST: 66
BT: 25
ST: 26
PST: 16
VMT: 27",21,3,5,7,39,0.928571429,Elita,Completed
28,,,,,Red,13,4,3,1,15,3,22,10,1,57,0.838235294,"DST: 28:31
BT: 29:41
ST: 33:10
PST: 33:48
VMT: 34:10","DST: 29:09, 29:12, 29:22, 29:25, 29:27, 29:29, 29:31, 29:35
BT: all correct
ST: 33:24, 33:26
PST: all correct
VMT: all correct","DST: 64
BT: 21
ST: 27
PST: 15
VMT: 26",17,3,5,7,34,0.894736842,Elita,Completed
28,,,,,Teach,13,2,3,1,27,2,21,7,1,65,0.844155844,"DST: 16:51
BT: 18:10
ST: 36:40
PST: 37:17
VMT: 37:40","DST: 17:33, 17:35, 17:42, 17:52, 17:56, 17:59, 18:00, 18:01
BT: 18:28, 18:35
ST: all correct
PST: all correct
VMT: 37:46","DST: 72
BT: 25
ST: 26
PST: 15
VMT: 26",27,2,5,7,43,0.914893617,Elita,Completed
28,,,,,Narrow,11,3,4,1,28,2,22,2,1,66,0.846153846,"DST: 20:54
BT: 22:07
ST: 31:28
PST: 32:07
VMT: 32:29","DST: 21:07, 21:18, 21:19, 21:21, 21:37, 21:46, 21:49, 21:50, 21:52, 21:54
BT: 22:23
ST: all correct
PST: all correct
VMT: all correct","DST: 65
BT: 22
ST: 26
PST: 14
VMT: 28",28,2,0,7,40,0.833333333,Elita,Completed
28,,,,,Green,13,4,3,1,17,2,22,2,1,58,0.816901409,"DST: 12:19
BT: 13:34
ST: 38:20
PST: 38:57
VMT: 39:22","DST: 12:27, 12:35, 13:06, 13:07, 13:17, 13:22, 13:25, 13:26
BT: all correct
ST: 38:27, 38:35, 38:38, 38:42
PST: all correct
VMT: all correct","DST: 68
BT: 21
ST: 26
PST: 15
VMT: 26",21,2,0,7,30,0.731707317,Elita,Completed
