,EEG Filename,Video Filename,Dataset,Test Number,Condition,DST (out of 21) # of Correct Answers,BT (out of 4) # of Correct Answers,1st Mental Fatigue,1st Stress,ST # of Correct Answers,PST # of Correct Answers,VMT (out of 22) # of Correct Answers,2nd Mental Fatigue,2nd Stress,Overall ,Accuracy,Start Time,Timepoints for Incorrect Answers,Duration,ST out of (Total trials),PST out of (Total trials),DST (7) [Longest sequence correct],VMT (7) [Longest sequence correct],Overall (vary),Accuracy,Person in Charge,Completed
8,,,,,Wide,,,,,,,,3,,0,0,"DST: 
BT:
ST:
PST:
VMT:","DST: 
BT:
ST:
PST:
VMT:","DST: 
BT:
ST:
PST:
VMT:",,,,,0,0,Emme,In Progress
8,,,,,Bar,,,,,,,,2,,0,0,"DST: 
BT:
ST:
PST:
VMT:","DST: 
BT:
ST:
PST:
VMT:","DST: 
BT:
ST:
PST:
VMT:",,,,,0,0,Emme,In Progress
9,,,,,One,19,4,3,2,21,4,22,9,3,70,0.95890411,"DST: 18:59
BT: 19:59
ST: 31:28
PST: 32:05
VMT: 32:29","DST: 19:40, 19:49
BT: 
ST:
PST:
VMT:","DST: 52
BT: 21
ST: 26
PST: 15
VMT: 26",21,4,5,7,41,0.953488372,Heley,Completed
9,,,,,Two,17,4,3,2,26,2,22,N/A,2,71,0.934210526,"DST: 14:50
BT: 16:03
ST: 33:18
PST: 33:52
VMT: 34:10","DST: 15:41, 15:52, 15:54, 15:55
BT:
ST: 
PST:
VMT:","DST: 62
BT: 24
ST: 26
PST: 15
VMT: 32",26,2,5,7,44,0.956521739,Heley,Completed
9,,,,,Blue,19,4,2,2,25,2,22,1,2,72,0.947368421,"DST: 22:40
BT: 23:41
ST: 34:58
PST: 35:35
VMT: 36:00","DST: 23:25, 23:33
BT:
ST:
PST: 35:50
VMT:","DST: 55
BT: 36
ST: 26
PST: 16
VMT: 26",25,3,5,7,43,0.934782609,Heley,Completed
9,,,,,Red,19,4,3,2,22,4,22,1,4,71,0.946666667,"DST: 20:43
BT: 21:51
ST:41:52
PST: 42:28
VMT: 42:52","DST: 21:31, 21:40
BT:
ST: 42:01
PST:
VMT:","DST: 62
BT: 26
ST: 26
PST: 16
VMT: 26",23,4,5,7,42,0.933333333,Heley,Completed
9,,,,,Teach,20,4,2,2,25,5,21,7,4,75,0.949367089,"DST: 12:48
BT: 13:54
ST: 43:29
PST: 44:06
VMT: 44:28","DST: 13:37
BT:
ST:
PST: 44:10
VMT: 44:54","DST: 62
BT: 26
ST: 27
PST: 16
VMT: 26",25,6,7,7,48,0.979591837,Heley,Completed
9,,,,,Narrow,19,4,3,2,20,3,22,2,3,68,0.944444444,"DST: 16:49
BT: 17:57
ST: 29:41
PST: 30:17
VMT: 30:39","DST: 17:37, 17:48
BT: 
ST:
PST: 30:28
VMT:","DST: 61
BT: 35
ST: 26
PST: 16
VMT: 29",20,4,5,7,39,0.928571429,Heley,Completed
9,,,,,Green,17,4,3,3,12,5,22,4,3,60,0.882352941,"DST: 26:45
BT: 27:49
ST: 36:37
PST: 37:13
VMT: 37:36","DST: 27:31, 27:36, 27:40, 27:40
BT: 
ST: 36:47, 36:53, 36:58
PST:
VMT:","DST: 57
BT: 28
ST: 26
PST: 15
VMT: 26",15,5,5,7,33,0.868421053,Heley,Completed
9,,,,,Wide,19,4,2,2,24,5,21,2,3,73,0.948051948,"DST: 24:43
BT: 25:55
ST: 38:17
PST: 38:53
VMT: 39:17","DST: 25:37, 25:45
BT: 
ST:
PST:
VMT: 39:36","DST: 64
BT: 28
ST: 28
PST: 16
VMT: 28",24,5,5,7,45,0.957446809,Heley,Completed
9,,,,,Bar,19,4,2,2,27,3,22,3,3,75,0.961538462,"DST: 10:45
BT: 11:47
ST: 40:05
PST: 40:44
VMT: 41:09","DST: 11:33, 11:41
BT: 
ST: 
PST:
VMT:","DST: 60
BT: 26
ST: 26
PST: 15
VMT: 26",27,3,5,7,46,0.958333333,Heley,Completed
10,,,,,One,7,4,5,4,,,,5,,11,0.229166667,"DST: 12:28
BT: 13:40
ST:
PST:
VMT:","DST: 12:52, 12:53, 13:03, 13:04, 13:05, 13:06, 13:08, 13:20, 13:26, 13:27, 13:28, 13:29, 13:30, 13:30
BT:
ST:
PST:
VMT:","DST: 63
BT: 21
ST:
PST:
VMT:",,,6,,10,0.555555556,Kelly,Incomplete Data  Set
10,,,,,Two,,,,,,,,4,,0,0,"DST: 
BT:
ST:
PST:
VMT:","DST: 
BT:
ST:
PST:
VMT:","DST: 
BT:
ST:
PST:
VMT:",,,,,0,0,Kelly,Incomplete Data  Set
10,,,,,Blue,,,,,,,,7,,0,0,"DST: 
BT:
ST:
PST:
VMT:","DST: 
BT:
ST:
PST:
VMT:","DST: 
BT:
ST:
PST:
VMT:",,,,,0,0,Kelly,Incomplete Data  Set
10,,,,,Red,,,,,,,,4,,0,0,"DST: 
BT:
ST:
PST:
VMT:","DST: 
BT:
ST:
PST:
VMT:","DST: 
BT:
ST:
PST:
VMT:",,,,,0,0,Kelly,Incomplete Data  Set
10,,,,,Teach,,,,,,,,4,,0,0,"DST: 
BT:
ST:
PST:
VMT:","DST: 
BT:
ST:
PST:
VMT:","DST: 
BT:
ST:
PST:
VMT:",,,,,0,0,Kelly,Incomplete Data  Set
10,,,,,Narrow,,,,,,,,5,,0,0,"DST: 
BT:
ST:
PST:
VMT:","DST: 
BT:
ST:
PST:
VMT:","DST: 
BT:
ST:
PST:
VMT:",,,,,0,0,Kelly,Incomplete Data  Set
10,,,,,Green,16,,,,,,,N/A,,16,0.333333333,"DST: 14:32
BT: 15:49
ST:
PST:
VMT:","DST: 15:26, 15:31, 15:35, 15:38, 15:39 
BT:
ST:
PST:
VMT:","DST: 71
BT:
ST:
PST:
VMT:",,,14,,14,0.777777778,Kelly,Incomplete Data  Set
10,,,,,Wide,14,4,4,3,,,,4,,18,0.375,"DST: 10:09
BT: 11:33
ST:
PST:
VMT:","DST: 10:33, 10:40, 10:44, 10:45, 10:57, 11:17, 11:25
BT: 
ST:
PST:
VMT:","DST: 75
BT: 25
ST:
PST:
VMT:",,,6,,10,0.555555556,Kelly,Incomplete Data  Set
10,,,,,Bar,,,,,,,,1,,0,0,"DST: 
BT:
ST:
PST:
VMT:","DST: 
BT:
ST:
PST:
VMT:","DST: 
BT:
ST:
PST:
VMT:",,,,,0,0,Kelly,Incomplete Data  Set
11,,,,,One,9,4,3,7,25,4,21,9,1,63,0.818181818,"DST: 25:01
BT: 26:06
ST: 40:01
PST: 40:39
VMT: 41:00","DST: 25:17, 25:18, 25:20, 25:33, 25:34, 25:35, 25:36, 25:53, 25:54, 25:56, 25:58
BT: NA
ST: NA
PST: NA
VMT: 41:15","DST: 58
BT: 25
ST: 27
PST: 15
VMT: 23",25,4,4,7,44,0.936170213,Jasmine,Completed
11,,,,,Two,15,4,2,2,20,3,22,N/A,2,64,0.901408451,"DST: 20:14
BT: 21:10
ST: 28:52
PST: 29:29
VMT: 29:50","DST: 20:31, 20:47, 20:57, 20:59, 21:02
BT: NA
ST: NA
PST: NA
VMT: NA","DST: 50
BT: 21
ST: 26
PST: 15
VMT: 22",20,3,5,7,39,0.951219512,Jasmine,Completed
11,,,,,Blue,15,4,2,2,18,2,22,8,1,61,0.884057971,"DST: 16:54
BT: 17:51
ST: 36:41
PST: 37:18
VMT: 37:40","DST: 17:23, 17:25, 17:26, 17:30, 17,43, 17:44
BT: NA
ST: NA
PST: 37:22
VMT: NA","DST: 51
BT: 25
ST: 27
PST: 15
VMT: 20",18,3,5,7,36,0.923076923,Jasmine,Completed
11,,,,,Red,16,4,3,2,8,3,22,10,2,53,0.85483871,"DST: 21:48
BT: 22:43
ST: 30:27
PST: 31:04
VMT: 31:26","DST: 22:18, 22:19, 22:34, 22:35, 22:36
BT: NA
ST: 30:32, 30:40, 30:41
PST: NA
VMT: NA","DST: 68
BT: 20
ST: 27
PST: 16
VMT: 20",11,3,5,7,27,0.84375,Jasmine,Completed
11,,,,,Teach,10,4,2,2,18,5,22,1,2,59,0.830985916,"DST: 15:07
BT: 16:08
ST: 41:40
PST: 42:19
VMT: 42:40","DST: 15:25, 15:26, 15:28, 15:29, 15:44, 15:47, 15:57, 15:58, 15:59, 16:00, 16:01
BT: NA
ST: NA
PST: NA
VMT: NA","DST: 54
BT: 26
ST: 28
PST: 15
VMT: 25",18,5,4,7,38,0.926829268,Jasmine,Completed
11,,,,,Narrow,15,4,2,2,26,2,22,3,1,69,0.896103896,"DST: 11:52
BT: 12:53
ST: 38:29
PST: 39:06
VMT: 39:28","DST: 12:22, 12:35, 12:41, 12:42, 12:44, 12:46
BT: NA
ST: NA
PST: 39:14
VMT: NA","DST: 58
BT: 24
ST: 27
PST: 16
VMT: 22",26,3,5,7,44,0.936170213,Jasmine,Completed
11,,,,,Green,19,4,2,2,6,4,21,4,2,54,0.818181818,"DST: 13:37
BT: 14:28
ST: 32:01
PST: 32:28
VMT: 33:00","DST: 14:19, 14:21
BT: NA
ST: 32:02, 32:09, 32:11, 32:14, 32:19, 32:23, 32:24, 32:25 
PST: NA
VMT: 33:20","DST: 45
BT: 18
ST: 26
PST: 25
VMT: 22",14,4,5,7,26,0.722222222,Jasmine,Completed
